miRNA	target_accession	score	acc_clean	SYMBOL	ENTREZID
hsa-miR-3185	NM_001321947	93.449558266	NM_001321947	FGF14	2259
hsa-miR-3185	NM_001317103	97.023622813	NM_001317103	DNAJB4	11080
hsa-miR-3185	NM_000642	87.6886863655	NM_000642	AGL	178
hsa-miR-3185	NM_138713	95.7653997660158	NM_138713	NFAT5	10725
hsa-miR-3185	NM_006599	95.7653997660158	NM_006599	NFAT5	10725
hsa-miR-3185	NM_001322795	84.3907	NM_001322795	IDE	3416
hsa-miR-3185	NM_001312909	81.9415	NM_001312909	FAM111A	63901
hsa-miR-3185	NM_001288590	88.3820727544	NM_001288590	ZKSCAN7	55888
hsa-miR-3185	NM_175052	86.4592	NM_175052	ST8SIA4	7903
hsa-miR-3185	NM_152450	91.0729920526	NM_152450	FAM81A	145773
hsa-miR-3185	NM_006068	87.078206935234	NM_006068	TLR6	10333
hsa-miR-3185	NM_001170570	84.9605607516	NM_001170570	STEEP1	63932
hsa-miR-3185	NM_001008537	91.7725166469912	NM_001008537	NEXMIF	340533
hsa-miR-3185	NM_001042599	90.7923993801544	NM_001042599	ERBB4	2066
hsa-miR-3185	NM_001321943	93.449558266	NM_001321943	FGF14	2259
hsa-miR-3185	NM_020841	83.2275046702	NM_020841	OSBPL8	114882
hsa-miR-3185	NM_004615	81.1545	NM_004615	TSPAN7	7102
hsa-miR-3185	NM_006457	81.7940721362795	NM_006457	PDLIM5	10611
hsa-miR-3185	NM_001320264	84.8844288286309	NM_001320264	AP3M1	26985
hsa-miR-3185	NM_001032280	81.821	NM_001032280	TFAP2A	7020
hsa-miR-3185	NM_001178091	88.5933873340788	NM_001178091	BCAT1	586
hsa-miR-3185	NM_001003712	83.2275046702	NM_001003712	OSBPL8	114882
hsa-miR-3185	NM_175061	83.195777197	NM_175061	JAZF1	221895
hsa-miR-3185	NM_012193	85.4076037510124	NM_012193	FZD4	8322
hsa-miR-3185	NM_032950	82.38922459	NM_032950	MMP28	79148
hsa-miR-3185	NM_001013399	84.0199	NM_001013399	CCNC	892
hsa-miR-3185	NM_001308046	82.3888980105	NM_001308046	TNK2	10188
hsa-miR-3185	NM_004115	93.449558266	NM_004115	FGF14	2259
hsa-miR-3185	NM_001315537	81.3291	NM_001315537	LDHB	3945
hsa-miR-3185	NM_001005909	83.4092	NM_001005909	IP6K2	51447
hsa-miR-3185	NM_001042601	82.5791983184988	NM_001042601	TTC14	151613
hsa-miR-3185	NM_001319041	92.5684005962621	NM_001319041	FABP7	2173
hsa-miR-3185	NM_004734	84.9176644910425	NM_004734	DCLK1	9201
hsa-miR-3185	NM_001193342	87.6507755375	NM_001193342	SLC13A3	64849
hsa-miR-3185	NM_153607	83.9748	NM_153607	CREBRF	153222
hsa-miR-3185	NM_001171506	80.1375021392	NM_001171506	MCFD2	90411
hsa-miR-3185	NM_001321731	99.7930743774675	NM_001321731	EXOC6B	23233
hsa-miR-3185	NM_001322943	83.6427943561407	NM_001322943	DSE	29940
hsa-miR-3185	NM_152310	88.1522	NM_152310	ELOVL3	83401
hsa-miR-3185	NM_001312910	81.9415	NM_001312910	FAM111A	63901
hsa-miR-3185	NM_000346	99.3986787407631	NM_000346	SOX9	6662
hsa-miR-3185	NM_001320835	98.031834410662	NM_001320835	DENND4A	10260
hsa-miR-3185	NM_000646	87.6886863655	NM_000646	AGL	178
hsa-miR-3185	NM_001270380	90.0392	NM_001270380	XRRA1	143570
hsa-miR-3185	NM_005633	80.4359231387421	NM_005633	SOS1	6654
hsa-miR-3185	NM_020108	91.75699	NM_020108	ACRV1	56
hsa-miR-3185	NM_030674	84.0441858231191	NM_030674	SLC38A1	81539
hsa-miR-3185	NM_198570	80.9534474289233	NM_198570	VWC2	375567
hsa-miR-3185	NM_001322056	95.4562446005686	NM_001322056	PDE1C	5137
hsa-miR-3185	NM_145793	90.8250674115466	NM_145793	GFRA1	2674
hsa-miR-3185	NM_001278389	86.1606510483935	NM_001278389	SLC38A1	81539
hsa-miR-3185	NM_004283	85.6949743375	NM_004283	RAB3D	9545
hsa-miR-3185	NM_001166049	99.9948066299385	NM_001166049	ERCC1	2067
hsa-miR-3185	NM_020693	92.24977	NM_020693	DSCAML1	57453
hsa-miR-3185	NM_014839	81.8610944759454	NM_014839	PLPPR4	9890
hsa-miR-3185	NM_001012455	94.8933580139204	NM_001012455	ZSCAN23	222696
hsa-miR-3185	NM_001165946	84.3907	NM_001165946	IDE	3416
hsa-miR-3185	NM_001062	86.1400356283	NM_001062	TCN1	6947
hsa-miR-3185	NM_001136558	83.4761	NM_001136558	GPR107	57720
hsa-miR-3185	NM_001322793	84.3907	NM_001322793	IDE	3416
hsa-miR-3185	NM_004836	92.94575	NM_004836	EIF2AK3	9451
hsa-miR-3185	NM_001167672	91.5992920024405	NM_001167672	LPP	4026
hsa-miR-3185	NM_024955	87.5113671891364	NM_024955	FOXRED2	80020
hsa-miR-3185	NM_001284338	80.6683247151533	NM_001284338	NEDD4	4734
hsa-miR-3185	NM_001172412	89.8747141222657	NM_001172412	VANGL1	81839
hsa-miR-3185	NM_001171510	80.1375021392	NM_001171510	MCFD2	90411
hsa-miR-3185	NM_015315	85.8186713727856	NM_015315	LARP1	23367
hsa-miR-3185	NM_025107	85.3842246874	NM_025107	MYCT1	80177
